Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Velocidad media,Velocidad máxima,Ascenso total,Descenso total,Longitud media de zancada,Normalized Power® (NP®),Training Stress Score®,Potencia media máxima (20 minutos),Potencia media,Potencia máxima,Pedaladas totales,Swolf medio,Velocidad media de palada,Pasos,Temperatura mínima,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Estrés medio,Estrés máximo,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Carrera,2025-09-28 10:02:15,false,"Madrid Carrera","8,69","720","00:49:55","--","--","--","165","198","5:45","3:04","48","46","1,05","--","0,0","--","--","--","--","--","--","8.230","--","No","00:05:06,3","9","--","--","--","00:49:05","00:49:55","590","618"
Ciclismo,2025-09-28 08:43:21,false,"Madrid Ciclismo","38,96","1.561","01:16:54","--","--","--","--","--","30,4","56,5","301","304","--","--","0,0","--","--","--","--","--","--","--","--","No","00:07:06,1","8","--","--","--","01:16:35","01:16:54","598","740"
Carrera,2025-09-28 08:14:36,false,"Madrid Carrera","1,67","139","00:23:17","--","--","--","96","198","13:57","4:26","18","19","0,75","--","0,0","--","--","--","--","--","--","2.232","--","No","00:09:29,6","2","--","--","--","00:21:41","00:23:17","591","620"
Ciclismo en sala,2025-09-25 08:19:29,false,"Ciclismo en sala","0,00","551","01:00:05","152","168","--","--","--","--","--","--","--","--","160","42,8","168","153","214","--","--","--","--","17,0","No","01:00:05","1","20,0","--","--","00:00:00","01:00:28","651","1.277"
Ciclismo en sala,2025-09-22 08:13:23,false,"Ciclismo en sala","0,00","730","01:00:14","161","178","--","--","--","--","--","--","--","--","213","75,9","224","202","373","--","--","--","--","21,0","No","01:00:14","1","23,0","--","--","00:00:00","01:00:57","661","666"
Ciclismo,2025-09-21 17:13:05,false,"Madrid Ciclismo","40,13","1.060","02:17:42","124","174","--","--","--","17,5","43,8","424","399","--","--","0,0","--","--","--","--","--","--","--","18,0","No","02:17:42","1","24,0","--","--","02:11:37","02:27:33","582","696"
Ciclismo,2025-09-15 18:49:10,false,"Madrid Ciclismo","26,25","949","00:58:32","--","--","--","--","--","26,9","57,4","145","157","--","--","0,0","--","--","--","--","--","--","--","21,0","No","00:58:32","1","30,0","--","--","00:57:53","01:12:39","608","677"
Ciclismo en sala,2025-09-14 15:59:18,false,"Ciclismo en sala","0,00","652","01:00:03","80","80","--","--","--","--","--","--","--","--","199","66,0","192","181","497","--","--","--","--","22,0","No","01:00:03","1","29,0","--","--","00:00:00","01:02:33","622","626"
Ciclismo en sala,2025-09-13 14:35:18,false,"Ciclismo en sala","0,00","607","00:54:25","--","--","--","--","--","--","--","--","--","--","198","59,1","198","186","317","--","--","--","--","23,0","No","00:54:25","1","33,0","--","--","00:00:00","00:58:40","642","650"
Ciclismo en sala,2025-09-10 17:10:19,false,"Ciclismo en sala","0,00","416","00:45:41","--","--","--","--","--","--","--","--","--","--","167","35,2","169","152","268","--","--","--","--","19,0","No","00:45:41","1","21,0","--","--","00:00:00","00:50:49","671","680"
